antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'lbxsassi'}),frozenset({'lbxsatsi'}),0.6625438998320354,0.5332111772789739,0.4426630019850359,0.6681262963816548,1.2530238015473816,0.08938718915659372,1.4065254873517585,0.5983906137082688
frozenset({'lbxsatsi'}),frozenset({'lbxsassi'}),0.5332111772789739,0.6625438998320354,0.4426630019850359,0.8301832760595647,1.2530238015473816,0.08938718915659372,1.9871782492184349,0.4325951116438581
frozenset({'lbxsbu'}),frozenset({'lbxsatsi'}),0.10932966865170254,0.5332111772789739,0.07054512139257901,0.6452513966480447,1.2101235385590046,0.012249320059284571,1.3158299097175379,0.19495214197768623
frozenset({'lbxsch'}),frozenset({'lbxsatsi'}),0.6097114063215758,0.5332111772789739,0.36768972362192703,0.6030553468569998,1.1309878197498544,0.04258478685678074,1.1759544284700676,0.29674753950056915
frozenset({'lbxsatsi'}),frozenset({'lbxsch'}),0.5332111772789739,0.6097114063215758,0.36768972362192703,0.6895761741122566,1.1309878197498542,0.04258478685678074,1.257276539783263,0.24811472390037773
frozenset({'lbxscr'}),frozenset({'lbxsatsi'}),0.28706672774469383,0.5332111772789739,0.18995266452893572,0.6617021276595745,1.2409757256708343,0.036885476670564826,1.379816016848316,0.2723711639816288
frozenset({'lbxsgtsi'}),frozenset({'lbxsatsi'}),0.10306917086578103,0.5332111772789739,0.0610780271797221,0.5925925925925927,1.1113656611938398,0.006120393241211275,1.1457543830425188,0.11172114402451484
frozenset({'lbxsgl'}),frozenset({'lbxsatsi'}),0.2803481447549244,0.5332111772789739,0.15040464193006567,0.5364923747276689,1.0061536546653789,0.0009198776173162115,1.0070790581854334,0.008498579908041273
frozenset({'lbxsir'}),frozenset({'lbxsatsi'}),0.11192548480684074,0.5332111772789739,0.07314093754771721,0.6534788540245566,1.22555355527114,0.013461018026341746,1.3470716813169767,0.20723732386074828
frozenset({'lbxsldsi'}),frozenset({'lbxsatsi'}),0.1568178347839365,0.5332111772789739,0.105054206749122,0.6699123661148977,1.2563734495092969,0.021437184445639593,1.4141360499542586,0.24200976221962028
frozenset({'lbxsph'}),frozenset({'lbxsatsi'}),0.13910520690181707,0.5332111772789739,0.08566193311956023,0.6158068057080132,1.1549022825262822,0.011489481981807104,1.2149846214252993,0.1557982217686325
